,Unnamed: 0,Event,Time,Port,Vessel,VesselType
259,259,Departure,2019-12-08 15:25,CHEVRON SF,CADEN FOSS [US],tug
260,260,Arrival,2019-12-08 15:25,MONGSTAD ,JUANITA [NO],undefined
261,261,Arrival,2019-12-08 15:25,CASTLETOWN BEARHAVEN,NOVO MORRINA [IE],fishing
262,262,Arrival,2019-12-08 15:25,LAS PALMAS,BLUE HERRON [ES],yacht
263,263,Departure,2019-12-08 15:25,BAKAUHENI,RAJARAKATA [ID],passenger
264,264,Departure,2019-12-08 15:25,TAN TAN,ALMOUGGAR [MA],tug
265,265,Departure,2019-12-08 15:25,YANTIAN,HAI BANG DA 318 [CN],cargo
266,266,Arrival,2019-12-08 15:25,ZAANDAM,PONT 6 [NL],passenger
267,267,Arrival,2019-12-08 15:25,LOS ANGELES,LUKE [US],tug
268,268,Arrival,2019-12-08 15:25,SAGUNTO,VB CONQUERIDOR [ES],tug
269,269,Departure,2019-12-08 15:25,FORT LAUDERDALE,MV PA-LI-NE [US],yacht
270,270,Arrival,2019-12-08 15:25,PORT EVERGLADES,MV PA-LI-NE [US],yacht
271,271,Departure,2019-12-08 15:25,KUPANG,TRANSKO BIMA [ID],tanker
272,272,Departure,2019-12-08 15:25,SINGAPORE,PSA HULK CS04 [SG],undefined
273,273,Departure,2019-12-08 15:25,VISBY,VISBY [SE],passenger
274,274,Arrival,2019-12-08 15:25,HELSINGBORG,TYCHO BRAHE [SE],passenger
275,275,Arrival,2019-12-08 15:25,GOLFE JUAN,COMBAWA [FR],yacht
276,276,Arrival,2019-12-08 15:25,NEW ORLEANS,VELMA C [US],tug
277,277,Arrival,2019-12-08 15:25,QINZHOU,REN JIAN DA LIAN [CN],cargo
278,278,Arrival,2019-12-08 15:25,BALTIMORE,BALTIMORE [US],tug
279,279,Arrival,2019-12-08 15:25,CAOFEIDIAN,SHEN YU 89 [CN],cargo
280,280,Departure,2019-12-08 15:25,HELSINKI,SILJA SERENADE [FI],passenger
281,281,Departure,2019-12-08 15:25,FORT LAUDERDALE,PARADERO [US],cargo
282,282,Departure,2019-12-08 15:25,WESEL,RIVER KWAI [DE],yacht
283,283,Departure,2019-12-08 15:25,VENNESUND,LYSINGEN [NO],passenger
284,284,Arrival,2019-12-08 15:24,BERGEN,ADMIRALEN [NO],high speed
285,285,Arrival,2019-12-08 15:24,ZEYTINBURNU,ENGIN KAPTAN-3 [TR],yacht
286,286,Arrival,2019-12-08 15:24,NOVOROSSIYSK,BOSPOR [RU],tug
287,287,Arrival,2019-12-08 15:24,ABELNES,HIDRASUND [NO],passenger
288,288,Departure,2019-12-08 15:24,FOURCHON,FAST RUNNER [US],tug
289,289,Arrival,2019-12-08 15:24,WARRENTON,COLUMBIA [US],tug
290,290,Departure,2019-12-08 15:24,SAN FRANCISCO,VALOR [US],tug
291,291,Arrival,2019-12-08 15:24,PORTSMOUTH,ISLAND FLYER [GB],high speed
292,292,Departure,2019-12-08 15:24,ROTTERDAM,EXPERIENCE [NL],tug
293,293,Arrival,2019-12-08 15:24,IJMUIDEN,DRACO (PILOT VESSEL) [NL],tug
294,294,Arrival,2019-12-08 15:24,BUSAN,207 HYUNDAE [KR],tanker
295,295,Arrival,2019-12-08 15:24,KETAPANG,KMP PRATHITA IV [ID],passenger
296,296,Arrival,2019-12-08 15:24,DORDRECHT,ALBLAS [NL],passenger
297,297,Arrival,2019-12-08 15:24,RIDDERKERK,VLIJ [NL],passenger
298,298,Departure,2019-12-08 15:24,SAN FRANCISCO,SOLANA [US],tug
299,299,Departure,2019-12-08 15:24,MALOY,HORNELEN [NO],passenger
300,300,Departure,2019-12-08 15:24,MAASBRACHT,LAURA [NL],cargo
301,301,Arrival,2019-12-08 15:24,ARSVAGEN,STAVANGERFJORD [NO],passenger
302,302,Departure,2019-12-08 15:24,CHEVRON SF,PENTATHLON [US],tanker
303,303,Departure,2019-12-08 15:24,ANTWERP,RIO Y MAR [BE],tanker
304,304,Arrival,2019-12-08 15:24,CORRAL,CULLAMO [CL],passenger
305,305,Arrival,2019-12-08 15:24,SALAMINA,PARALOS [GR],passenger
306,306,Departure,2019-12-08 15:24,CHERRY POINT,OVERSEAS LOS ANGELES [US],tanker
307,307,Departure,2019-12-08 15:24,SHANTOU,WANG DA 159 [CN],cargo
308,308,Arrival,2019-12-08 15:24,VASSOY,TEDNO [NO],passenger
309,309,Departure,2019-12-08 15:24,XIAMEN,MIN XIA MEN KE 0118 [CN],passenger
310,310,Arrival,2019-12-08 15:24,SURABAYA,KT.BIMA 5 [ID],tug
311,311,Departure,2019-12-08 15:24,LA BOUILLE,BAC 20 [FR],passenger
312,312,Arrival,2019-12-08 15:24,FORVIK,KJELLA [NO],passenger
